document_id,title,edition,current_published_at,proposed_published_at,evidence,confidence,pdf_created_authoring_only,pdf_modified,pages,fetch,url
inbody:8dbfb4199b20d0327e1372463eac4516ac9ca555,Annual Report 2015-2016,2015-16,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: month and year on the cover; DocInfo created 2016-07-22 = authoring evidence only),none,2016-07-22,2016-07-26,121,ok,https://www.teriin.org/sites/default/files/files/TAR_2015-16.pdf
inbody:9c7a00cf9c9f542c87722e0d8c59864698d4e30f,Annual Report 2016-2017,2016-17,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: month and year on the cover; DocInfo created 2017-11-14 = authoring evidence only),none,2017-11-14,2017-11-14,114,ok,https://www.teriin.org/sites/default/files/files/TAR_2016-17.pdf
inbody:0e41da3dbea8c5135d3a22191ed94b72670c9afc,Annual Report 2017-2018,2017-18,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: month and year on the cover; DocInfo created 2019-03-19 = authoring evidence only),none,2019-03-19,2019-03-19,124,ok,https://www.teriin.org/sites/default/files/files/TAR_2017-18.pdf
inbody:fd1a49f6805d558d4ebbcf2a46dbe74a67077e00,Annual Report 2018-2019,2018-19,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: month and year on the cover; DocInfo created 2019-12-20 = authoring evidence only),none,2019-12-20,2020-01-06,165,ok,https://www.teriin.org/sites/default/files/files/TAR_2018-19.pdf
inbody:2f79888787b93d02d6168a42ba5e62cebbf7d47a,Annual Report 2019-2020,2019-20,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: month and year on the cover; DocInfo created 2021-02-10 = authoring evidence only),none,2021-02-10,2021-02-10,186,ok,https://www.teriin.org/sites/default/files/files/Annual-Report-19-20.pdf
inbody:e26fab8fb61bebe3b6bc1106c4fcf92e2540baef,Annual Report 2020-2021,2020-21,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: none found; DocInfo created 2022-03-10 = authoring evidence only),none,2022-03-10,2022-03-10,212,ok,https://www.teriin.org/sites/default/files/files/Annual-Report-20-21.pdf
inbody:0e0407abe9359f9f2848c2d0999c513ec6df37b2,Annual Report 2021-2022,2021-22,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: printed / released; DocInfo created 2022-12-09 = authoring evidence only),none,2022-12-09,2022-12-13,116,ok,https://www.teriin.org/sites/default/files/files/TERI_Annual_Report_upload.pdf
inbody:778fda99d1f94ceb10b1f042b8efe24c3d9f3ffd,Annual Report 2022-2023,2022-23,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: none found; DocInfo created 2024-03-15 = authoring evidence only),none,2024-03-15,2024-03-19,125,ok,https://www.teriin.org/sites/default/files/files/TERI_Annual_Report_2022_23.pdf
inbody:2eb436aee7cb76fecc32efd5b9fc720207d947ce,Annual Report 2023-2024,2023-24,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: none found; DocInfo created 2024-12-23 = authoring evidence only),none,2024-12-23,2025-03-26,145,ok,https://teriin.org/files/TERI-Annual-Report-2023-24.pdf
inbody:592d62f0caf7f60e30fa75827f22d01ee7ffadad,Annual Report 2024-2025,2024-25,2022-02-09 06:59:06,NO VERIFIED DATE,no publication statement in the first 6 pages (found: none found; DocInfo created 2025-11-21 = authoring evidence only),none,2025-11-21,2025-11-28,189,ok,https://teriin.org/files/TERI-Annual-Report-2024-25.pdf
