origin,category,bundle,filename,node_title,anchor,node_created,file_created,pdf_created,current_published_at,proposed,rule,source,would_move,fetch,outcome,trust,url
attachment,minor_gap,events,LeadIT Cement Roadmap Agenda.pdf,Workshop on Accelerating Decarbonisation for India's Cement ,,2022-04-06T07:01:16+00:00,2022-04-11T10:36:31+00:00,2022-04-08T13:14:20+00:00,2022-04-06 07:01:16,2022-04-06T07:01:16+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2022-04/LeadIT%20Cement%20Roadmap%20Agenda.pdf
attachment,minor_gap,events,Summary_G20 to COP28.pdf,Act4Earth National Dialogue: Road to Dubai: From G20 to COP2,,2023-11-03T06:05:46+00:00,2023-11-24T11:11:17+00:00,2023-11-24T14:35:50+00:00,2023-11-03 06:05:46,2023-11-03T06:05:46+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-11/Summary_G20%20to%20COP28.pdf
attachment,minor_gap,policy_brief,Presentation Green Hydrogen-Path to Decarbonization.pdf,Green Hydrogen - Path to Decarbonization,,2024-11-07T09:48:17+00:00,2024-11-12T06:03:03+00:00,2024-11-12T10:26:40+00:00,2024-11-07 09:48:17,2024-11-07T09:48:17+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2024-11/Presentation%20Green%20Hydrogen-Path%20to%20Decarbonization.pdf
attachment,minor_gap,events,Draft Draft Agenda Bridging Innovation and Action Swiss Startup Solutions for India’s Sustainability.pdf,WSDS 2026 Thematic Track: Bridging Innovation and Action: Sw,,2026-02-10T07:21:14+00:00,2026-02-24T04:43:49+00:00,2026-02-24T10:11:30+00:00,2026-02-10 07:21:14,2026-02-10T07:21:14+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2026-02/Draft%20Draft%20Agenda%20Bridging%20Innovation%20and%20Action%20Swiss%20Startup%20Solutions%20for%20India%E2%80%99s%20Sustainability.pdf
attachment,minor_gap,events,Project Report- Modelling The energy Efficiency pathways for India’s Room Ac.pdf,Maximizing the Benefits for Climate Friendly Cooling through,,2022-08-01T06:09:30+00:00,2022-08-08T10:26:49+00:00,2022-08-05T14:18:58+00:00,2022-08-01 06:09:30,2022-08-01T06:09:30+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2022-08/Project%20Report-%20Modelling%20The%20energy%20Efficiency%20pathways%20for%20India%E2%80%99s%20Room%20Ac.pdf
attachment,minor_gap,events,Background note and Agenda_Hard to Abate.pdf,G20 International Seminar: Sharing global policies and best ,,2023-05-16T09:35:59+00:00,2023-05-30T09:38:11+00:00,2023-05-15T16:24:37+00:00,2023-05-16 09:35:59,2023-05-16T09:35:59+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-05/Background%20note%20and%20Agenda_Hard%20to%20Abate.pdf
attachment,minor_gap,policy_brief,Hydrogen Policy Brief_Final.pdf,Green Hydrogen - Path to Decarbonization,,2024-11-07T09:48:17+00:00,2024-11-12T06:02:49+00:00,2024-11-11T17:25:19+00:00,2024-11-07 09:48:17,2024-11-07T09:48:17+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2024-11/Hydrogen%20Policy%20Brief_Final.pdf
attachment,minor_gap,events,SNAPFI Steel Report 2023.pdf,Financing Decarbonization of Indian Secondary Steel Sector: ,,2023-12-14T09:46:27+00:00,2023-12-18T10:27:59+00:00,2023-12-15T14:11:12+00:00,2023-12-14 09:46:27,2023-12-14T09:46:27+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2023-12/SNAPFI%20Steel%20Report%202023.pdf
attachment,minor_gap,events,Conference Note_session_3.pdf,National Conference on the 'Five year journey of The RFCTLAR,,2018-09-27T06:07:43+00:00,2018-10-23T07:02:59+00:00,2018-10-22T14:31:19+00:00,2018-09-27 06:07:43,2018-09-27T06:07:43+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2018-10/Conference%20Note_session_3.pdf
attachment,minor_gap,events,Conference Note_National Conference.pdf,National Conference on the 'Five year journey of The RFCTLAR,,2018-09-27T06:07:43+00:00,2018-10-23T07:00:38+00:00,2018-10-22T14:27:14+00:00,2018-09-27 06:07:43,2018-09-27T06:07:43+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2018-10/Conference%20Note_National%20Conference.pdf
attachment,minor_gap,press_release,FLOW press release - Guwahati.pdf,Bharti Infratel and TERI empower schools to take forward wat,,2018-10-17T08:51:15+00:00,2018-10-26T11:49:32+00:00,2018-10-26T17:19:16+00:00,2018-10-17 08:51:15,2018-10-17T08:51:15+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2018-10/FLOW%20press%20release%20-%20Guwahati.pdf
attachment,minor_gap,events,webinar on circular economy (1).pdf,Webinar on “Achieving Sustainable Waste Management: Circular,,2023-05-24T09:41:14+00:00,2023-05-30T09:45:54+00:00,2023-05-19T14:31:28+00:00,2023-05-24 09:41:14,2023-05-24T09:41:14+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2023-05/webinar%20on%20circular%20economy%20%281%29.pdf
attachment,minor_gap,events,Workshop Background Note_10.11.2022.pdf,Circular Economy: Eco Design and Eco Labelling- Role of Stan,,2022-10-19T10:59:01+00:00,2022-11-10T11:47:08+00:00,2022-11-10T13:38:24+00:00,2022-10-19 10:59:01,2022-10-19T10:59:01+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2022-11/Workshop%20Background%20Note_10.11.2022.pdf
attachment,minor_gap,events,Green Budgeting_ppt_final.pdf,Webinar on Green Budgeting,,2024-12-31T06:50:53+00:00,2025-01-14T11:04:05+00:00,2025-01-13T14:48:42+00:00,2024-12-31 06:50:53,2024-12-31T06:50:53+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2025-01/Green%20Budgeting_ppt_final.pdf
attachment,minor_gap,events,Schedule of Events_Private Sector Pavilion.pdf,Private Sector Pavilion at International Solar Festival pres,,2024-08-06T05:26:20+00:00,2024-09-25T10:33:12+00:00,2024-09-04T04:34:14+00:00,2024-08-06 05:26:20,2024-08-06T05:26:20+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2024-09/Schedule%20of%20Events_Private%20Sector%20Pavilion.pdf
attachment,minor_gap,events,Agenda for GPP-WSDS2026 Thematic Track (1).pdf,WSDS 2026 Thematic Track: Building Demand for Green Steel in,,2026-02-19T09:30:21+00:00,2026-03-03T11:27:14+00:00,2026-03-03T03:22:55+00:00,2026-02-19 09:30:21,2026-02-19T09:30:21+00:00,default,node_created,False,ok,default,both_match,/sites/default/files/2026-03/Agenda%20for%20GPP-WSDS2026%20Thematic%20Track%20%281%29.pdf
attachment,minor_gap,events,Conference Note_session_1.pdf,National Conference on the 'Five year journey of The RFCTLAR,,2018-09-27T06:07:43+00:00,2018-10-29T10:51:39+00:00,2018-10-29T14:14:14+00:00,2018-09-27 06:07:43,2018-09-27T06:07:43+00:00,default,node_created,False,ok,default,neither_matches,/sites/default/files/2018-10/Conference%20Note_session_1_0.pdf
attachment,minor_gap,ongoing_projects,Final_Visuals-Before-and-After-scenario.pdf,Rethink Plastic: UNEP-TERI joint initiative in Mumbai region,,2019-12-12T08:24:44+00:00,2020-03-25T07:09:09+00:00,2020-03-16T16:38:29+00:00,2019-12-12 08:24:44,2019-12-12T08:24:44+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2020-03/Final_Visuals-Before-and-After-scenario.pdf
attachment,minor_gap,events,Agenda-Book-Launch-GAIL-&-TERI.pdf,"Book Launch- Pollution Solutions: For a Cleaner, Greener Ear",,2022-03-23T06:11:56+00:00,2022-03-28T06:44:51+00:00,2022-03-28T10:21:24+00:00,2022-03-23 06:11:56,2022-03-23T06:11:56+00:00,default,node_created,False,ok,default,no_year_evidence,/sites/default/files/2022-03/Agenda-Book-Launch-GAIL-%26-TERI.pdf
