origin,category,bundle,filename,node_title,anchor,node_created,file_created,pdf_created,current_published_at,proposed,rule,source,would_move,fetch,outcome,trust,url
attachment,migration_era_both_stamped,press_release,pr-kumao-vani.pdf,Kumaon Vani wins I&B award for sustainable agriculture throu,,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2014-03-21T17:39:01+00:00,2018-01-11 06:29:59,2014-03-21T17:39:01+00:00,migration_era,pdf_docinfo,True,ok,migration_era,no_year_evidence,/sites/default/files/pressrelease/pr-kumao-vani.pdf
attachment,migration_era_both_stamped,press_release,Press-Release-CRBS.pdf,Develop and monitor standards in clean Off Grid lighting: To,,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2014-09-18T15:32:38+00:00,2018-01-11 06:29:59,2014-09-18T15:32:38+00:00,migration_era,pdf_docinfo,True,ok,migration_era,no_year_evidence,/sites/default/files/pressrelease/Press-Release-CRBS.pdf
attachment,migration_era_both_stamped,press_release,pr-solar-lightning.pdf,FIRST-OF-ITS-KIND SOLAR LIGHTING LABORATORY LAUNCHED IN SOUT,,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2014-02-19T10:29:56+00:00,2018-01-11 06:29:59,2014-02-19T10:29:56+00:00,migration_era,pdf_docinfo,True,ok,migration_era,no_year_evidence,/sites/default/files/pressrelease/pr-solar-lightning.pdf
attachment,migration_era_both_stamped,press_release,MoU_TERI-EESL.pdf,"EESL signs MoU with TERI, enters into a strategic partnershi",,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2016-06-30T12:17:37+00:00,,2016-06-30T12:17:37+00:00,migration_era,pdf_docinfo,True,ok,migration_era,no_year_evidence,/sites/default/files/pressrelease/MoU_TERI-EESL.pdf
attachment,migration_era_both_stamped,completed_projects,2006ER25FR.pdf,"DRUM Training Programme on ""Regulation of Distribution Busin",,2017-12-28T08:58:09+00:00,2018-02-09T07:03:31+00:00,2014-04-30T17:12:16+00:00,2017-12-28 08:58:09,2014-04-30T17:12:16+00:00,migration_era,pdf_docinfo,True,ok,migration_era,neither_matches,/sites/default/files/2018-02/2006ER25FR.pdf
attachment,migration_era_both_stamped,completed_projects,ES2004MB29.pdf,Bioremediation of oily sludge by Oilivorous-S technology and,,2017-12-28T08:58:09+00:00,2017-12-28T08:23:05+00:00,,2017-12-28 08:58:09,2017-12-28T08:58:09+00:00,default,node_created,False,ok,insufficient_evidence,neither_matches,/sites/default/files/completed_es/ES2004MB29.pdf
attachment,migration_era_both_stamped,press_release,TERI_Press_launches_title_by_MNRE_Advisor.pdf,TERI Press launches title by MNRE Advisor:  Multiple Choice ,,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2016-09-12T18:04:55+00:00,2018-01-11 06:29:59,2016-09-12T18:04:55+00:00,migration_era,pdf_docinfo,True,ok,migration_era,no_year_evidence,/sites/default/files/pressrelease/TERI_Press_launches_title_by_MNRE_Advisor.pdf
attachment,migration_era_both_stamped,press_release,DSDS-Advisory-pr.pdf,DSDS 2015 to open the debate on global sustainable developme,,2018-01-11T06:29:59+00:00,2018-01-11T06:29:59+00:00,2015-02-02T16:04:17+00:00,2018-01-11 06:29:59,2015-02-02T16:04:17+00:00,migration_era,pdf_docinfo,True,ok,migration_era,corroborated,/sites/default/files/pressrelease/DSDS-Advisory-pr.pdf
attachment,migration_era_both_stamped,completed_projects,ES2003RD43.pdf,Indicators for sustainable development,,2017-12-28T08:58:09+00:00,2017-12-28T08:23:05+00:00,,2017-12-28 08:58:09,2017-12-28T08:58:09+00:00,default,node_created,False,ok,insufficient_evidence,neither_matches,/sites/default/files/completed_es/ES2003RD43.pdf
attachment,migration_era_both_stamped,completed_projects,ES2009CE04.pdf,Carbon membrane for water treatment,,2017-12-28T08:58:09+00:00,2017-12-28T08:23:05+00:00,,2017-12-28 08:58:09,2017-12-28T08:58:09+00:00,default,node_created,False,ok,insufficient_evidence,neither_matches,/sites/default/files/completed_es/ES2009CE04.pdf
